epoch,batches,loss,accuracy
0,200,328.2861438989639,0.8974
0,400,313.43022060394287,0.9106
0,600,311.39680445194244,0.9165
0,800,309.87147855758667,0.9214
1,200,314.3715978860855,0.8915
1,400,311.8896645307541,0.9043
1,600,310.94606590270996,0.9168
1,800,309.2750127315521,0.9193
2,200,313.3333030939102,0.9063
2,400,311.11517786979675,0.9097
2,600,309.6412205696106,0.9157
2,800,309.012619972229,0.9222
3,200,313.8250069618225,0.9126
3,400,311.6570174694061,0.9105
3,600,310.56393027305603,0.9211
3,800,307.9473421573639,0.9241
4,200,315.0596203804016,0.9088
4,400,310.48255443573,0.9051
4,600,310.16903924942017,0.9199
4,800,307.63765823841095,0.9238
